Transcription,Phonetic IPA,IPA 2,Syllables,IPA (OLD),Meaning,Persian Meaning,Part of Speech,Form,Etymology,Cognates,Citations,Date,Notes,,,,,,
hat,hat,M: [häːt],1,hât,hand; arm,,noun,,Skt. hásta (CDIAL 14024),Sd. hathu,Anonby (hāt),"September 26, 2020",,,,,,,
kalpak,kal.pak,,2,kʰàl.pâk,hat,,noun,,Trk. kalpak,Az. qalpaq,,"September 26, 2020",,,,,,,
kalto,kal.to,,2,kʰàl.tôː,big,,adjective,,,,,"September 26, 2020",,,Sanskrit,183,0.4552238806,"September 24, 2020",0
moni,mo.ni,,2,mõ̀.nî,bread,,noun,,Skt. maṇḍá (CDIAL 9735),Sd. mānī,,"September 26, 2020",,,Persian,124,0.3107769424,"September 25, 2020",0
poni,po.ni,,2,põ̀.nîː,water,,noun,,Skt. pānī́ya (CDIAL 8082),,Anonby (puni),"September 26, 2020",,,Larestani,16,0.04020100503,"September 26, 2020",5
attu,at.tu,,2,à.tû~à.dû,you (sg.),,pronoun,,Skt. tuvám (CDIAL 5889) with some prefix,,,"September 27, 2020",,,Turkic,1,0.002518891688,"September 27, 2020",7
he,he,,1,hê,"this, 3SG.proximal",,pronoun,,Skt.,Sd. hī,Anonby (he),"September 27, 2020",,,Balochi,1,0.002525252525,"September 28, 2020",0
ho,ho,,1,"hô, hû","that, 3SG.distal",,pronoun,,Skt.,Sd. hū,,"September 27, 2020",,,Native forms,19,0.04810126582,"September 29, 2020",11
hoven,ho.ʋen,,2,hò.ʋɛ̂ːn,they,,pronoun,,Skt.,,,"September 27, 2020",,,English,5,0.01269035533,"September 30, 2020",7
hozen,ho.zen,,2,hò.zɛ̂ːn,they,,pronoun,,Skt.,,,"September 27, 2020",,,Arabic,2,0.005089058524,"October 1, 2020",7
māy,mɔj,,1,mɑ̂i̯,I,,pronoun,,Skt. ma (CDIAL 9691),,,"September 27, 2020","Sindhi interestingly uses āūn, which is probably from ahám. Northern (non-Vicholi) dialects of Sindhi have mān.",,Unknown,54,0.137755102,"October 2, 2020",10
āse,ɔ.se,,2,ɔ̀ː.sê,we,,pronoun,,Skt.,Sd. asī,,"September 27, 2020",,,,,,"October 3, 2020",13
aterā,a.te.ro,,3,áː.tɛ̂.ɾɔ̂,eight,,numeral,,Skt. aṣṭā́ (CDIAL 941),"Sd. aṭha, Thari aṭh",,"September 29, 2020",,,,,,"October 4, 2020",14
barā,ba.ro,,2,báː.ɾɔ̂,two,,numeral,<f> bari,Skt. dva (CDIAL 6648),"Sd. b̤a, Thari b̤ū",Anonby (bāro),"September 29, 2020",,,,,,"October 5, 2020",27
čāllā,t͡ʃɔl.lo,,2,t͡ʃɔ́l.lɔ̂ˑ,four,,numeral,<f> čālli,Skt. catvā́raḥ (CDIAL 4655),"Sd. cār, Thari cār",,"September 29, 2020",It is unclear why it wasn't cɔ́r-ro as etymologically expected (NW IA prefers r). -ro as a numeral ending form is very clear in numbers besides 1.,,,,,"October 6, 2020",14
dazerā,da.ze.ro,,3,dɜ́.zɛ̂.ɾɔ̂,ten,,numeral,,Skt. dáśa (CDIAL 6227),Sd. ḍ̈aha,Anonby (dad-)?,"September 29, 2020",,,,,,"October 7, 2020",13
hoko,ho.ko,,2,hŏ́.kô,one,,numeral,<f> hiki,Skt. ḗka (CDIAL 2462),"Sd. hiku, Thari hek, Pa. (h)ikk",Anonby (poko),"September 29, 2020","Spectrogram doesn't show the release that a stop has, so I think Anonby mistranscribed. Or, this is [ɸ] but that lenition I don't think should happen initially. Need more data!",,,,,"October 8, 2020",0
naverā,na.ʋe.ro,,3,náː.ʋɛ̂.ɾɔ̂,nine,,numeral,,Skt. náva (CDIAL 6984),"Sd. nava, Thari nīv",,"September 29, 2020",,,,,,"October 9, 2020",22
panjerā,paɲ.d͡ʒe.rɔ,,3,páɲ.d͡ʒɛ̆̂.ɾɔ̂ˑ,five,,numeral,<f> panjiri,Skt. páñca (CDIAL 7655),"Sd. panja, Thari panj, Pa. panj",,"September 29, 2020",,,,,,"October 10, 2020",13
saterā,sa.te.ro,,3,sá.tɛ̂.ɾɔ̂,seven,,numeral,,Skt. saptá (CDIAL 13139),"Sd. sata, Thari sat",,"September 29, 2020",,,,,,"October 11, 2020",10
šerā,ʃe.rɔ,,2,"ʃɛ́ː.ɾɔ̂, t͡ʃʱɛ́ː.ɾɔ̂",six,,numeral,,Skt. ṣáṣ (CDIAL 12803),"Sd. cha, Thari chi",,"September 29, 2020",,,,,,"October 12, 2020",16
tereṛā,te.re.ɽo,,3,tɛ̆́.ɾɛ̂.ɽɔ̂ː,three,,numeral,<f> tiriṛi,Skt. tráyaḥ (CDIAL 5994),"Sd. ṭ(r)e, Thari ṭan",Anonby (tereda),"September 29, 2020",The -ro numeral suffix seems to have undergone dissimilation.,,,,,"October 13, 2020",1
vizerā,ʋi.ze.ro,,3,ví.zɛ̂.ɾɔ̂,twenty,,numeral,,Skt. viṁśatí (CDIAL 11616),Sd. vīhe,,"September 29, 2020",,,,,,"October 14, 2020",36
čʰāv,t͡ʃʰoʋ,,1,,why,,adverb,,Skt.,,,"September 30, 2020",,,,,,"October 15, 2020",20
čʰoy,t͡ʃʰoj,,1,,what,,adverb,,Skt.,,,"September 30, 2020",,,,,,"October 16, 2020",6
gāy,gɔj,,1,gɒ̂i̯,song,,noun,,Skt. gā́yati (CDIAL 4135),,,"September 30, 2020",,,,,,"October 17, 2020",0
gāyen,gɔ.jen,,2,,to sing,,verb,,Skt. gā́yati (CDIAL 4135),,,"September 30, 2020",,,,,,"October 18, 2020",17
kite,ki.te,,2,,where,,adverb,,Skt.,,,"September 30, 2020",,,,,,"October 19, 2020",0
kizo,ki.zo,,2,,how,,adverb,,Skt.,,,"September 30, 2020",,,,,,"October 20, 2020",8
vaxte,ʋax.te,,2,,when,,adverb,,Prs. vaxt-e,,,"September 30, 2020",,,,,,,
berenoko,be.re.no.ko,,4,"bɛ́.ɾɛ̆́.nõ̀.kô, bɛ́.ɽɛ̆́.nõ̀.kô",very short,,adjective,,Native ? + noko,,,"October 1, 2020","cf. nōko, vowel length is not phonemic.",,,,,"October 21, 2020",0
gavoro,ga.ʋo.ro,,3,gàː.wò.ɾô,heavy,,adjective,,Skt. gurú (CDIAL 4209),,Anonby (gāwro),"October 1, 2020",,,,,,"October 22, 2020",0
noko,no.ko,,2,nõ̀ː.kô,"small, short",,adjective,<f> noki,Skt. niktá (CDIAL 7150)?,"Pa. nikkā ""small""",Anonby (nōko),"October 1, 2020",,,,,,"October 23, 2020",0
sino,si.no,,2,sĩ̀ː.nô,thin,,adjective,,Skt. ślakṣṇá (CDIAL 12372),Sd. sanho,,"October 1, 2020",,,,,,"October 24, 2020",0
tʰāllo,tʰɔl.lo,,2,tʰɔ̀l.lô,fat,,adjective,,Skt. sthūlá (CDIAL 13776),"Dom. təllã, Sd. thulho",,"October 1, 2020",,,,,,"October 25, 2020",0
